"county","est_population","gap_pct","severity","rnsa_designation"
"Alameda",1654555,-15.12,"Low","Yes"
"Alpine",1163,46.36,"No Shortage","No"
"Amador",40298,-18.57,"Low","Yes"
"Butte",205363,-7.12,"Low","Yes"
"Calaveras",44352,-47.36,"High","Yes"
"Colusa",21965,-27.97,"Medium","Yes"
"Contra Costa",1140997,0.08,"No Shortage","No"
"Del Norte",25674,-39.34,"High","Yes"
"El Dorado",186582,-23.73,"Medium","Yes"
"Fresno",1017950,0.43,"No Shortage","No"
"Glenn",27483,-81.66,"Severe","Yes"
"Humboldt",134500,-16.6,"Low","Yes"
"Imperial",182500,-28.34,"Medium","Yes"
"Inyo",18572,-35.5,"High","Yes"
"Kern",905930,-13.11,"Low","Yes"
"Kings",154962,6.93,"No Shortage","No"
"Lake",65379,-55.1,"Severe","Yes"
"Lassen",26789,-13.73,"Low","Yes"
"Madera",161017,-18.51,"Low","Yes"
"Marin",253823,-9.43,"Low","Yes"
"Mariposa",16772,-41.29,"High","Yes"
"Mendocino",88727,-36.48,"High","Yes"
"Merced",286863,-19.23,"Low","Yes"
"Modoc",8383,-72.05,"Severe","Yes"
"Mono",13184,-32.26,"Medium","Yes"
"Monterey",441321,-5.91,"Low","Yes"
"Napa",133632,4.84,"No Shortage","No"
"Nevada",99407,-21.38,"Medium","Yes"
"Orange",3147059,-6.85,"Low","Yes"
"Placer",415163,16.55,"No Shortage","No"
"Plumas",18478,-59.44,"Severe","Yes"
"Riverside",2452358,-6.26,"Low","Yes"
"Sacramento",1596561,15.04,"No Shortage","No"
"San Benito",65043,-60.22,"Severe","Yes"
"San Bernardino",2190839,1.48,"No Shortage","No"
"San Diego",3323902,0.98,"No Shortage","No"
"San Francisco",853387,-7.11,"Low","Yes"
"San Joaquin",790742,-9.34,"Low","Yes"
"San Luis Obispo",280797,-14.1,"Low","Yes"
"San Mateo",746866,-11.92,"Low","Yes"
"Santa Barbara",450541,-13.23,"Low","Yes"
"Santa Clara",1923378,0.22,"No Shortage","No"
"Santa Cruz",260732,5.25,"No Shortage","No"
"Shasta",177677,-18.77,"Low","Yes"
"Sierra",3115,23.48,"No Shortage","No"
"Siskiyou",42369,-29.49,"Medium","Yes"
"Solano",447640,21.16,"No Shortage","No"
"Sonoma",477183,-0.11,"No Shortage","No"
"Los Angeles SPA 1",428979,-44.56,"High","Yes"
"Los Angeles SPA 2",2216847,-24.54,"Medium","Yes"
"Los Angeles SPA 3",1815480,-23.91,"Medium","Yes"
"Los Angeles SPA 4",1148342,95.3,"No Shortage","No"
"Los Angeles SPA 5",643941,34.23,"No Shortage","No"
"Los Angeles SPA 6",1127032,-79.23,"Severe","Yes"
"Los Angeles SPA 7",945724,-32.17,"Medium","Yes"
"Los Angeles SPA 8",1422582,2.46,"No Shortage","No"
"Stanislaus",544142,-5.31,"Low","Yes"
"Sutter",98543,-26.61,"Medium","Yes"
"Tehama",64270,-33.66,"Medium","Yes"
"Trinity",15813,-49.38,"High","Yes"
"Tulare",478048,-29.48,"Medium","Yes"
"Tuolumne",53516,-40.81,"High","Yes"
"Ventura",824952,-12.86,"Low","Yes"
"Yolo",220629,-34.06,"Medium","Yes"
"Yuba",84858,-26.5,"Medium","Yes"
