CHIS Region,County,Supply,Demand,Gap,Gap %,RNSA Designation,Severity,Est. Population,,,,,,
Greater Bay Area,Alameda,10607.30,12497.07,-1889.77,-15.12%,Yes,Low,1654555,,,,,,
Northern & Sierra,Alpine,10.00,6.83,3.17,46.36%,No,No Shortage,1163,,,,,,
Northern & Sierra,Amador,257.22,315.88,-58.67,-18.57%,Yes,Low,40298,,,,,,
Northern & Sierra,Butte,2015.89,2170.42,-154.53,-7.12%,Yes,Low,205363,,,,,,
Northern & Sierra,Calaveras,124.04,235.62,-111.58,-47.36%,Yes,High,44352,,,,,,
Northern & Sierra,Colusa,79.33,110.13,-30.80,-27.97%,Yes,Medium,21965,,,,,,
Greater Bay Area,Contra Costa,7434.31,7428.11,6.19,0.08%,No,No Shortage,1140997,,,,,,
Northern & Sierra,Del Norte,147.71,243.50,-95.80,-39.34%,Yes,High,25674,,,,,,
Sacramento,El Dorado,813.58,1066.65,-253.07,-23.73%,Yes,Medium,186582,,,,,,
San Joaquin Valley,Fresno,7016.80,6986.42,30.38,0.43%,No,No Shortage,1017950,,,,,,
Northern & Sierra,Glenn,27.93,152.29,-124.36,-81.66%,Yes,Severe,27483,,,,,,
Northern & Sierra,Humboldt,1007.50,1208.09,-200.59,-16.60%,Yes,Low,134500,,,,,,
San Diego Area,Imperial,734.67,1025.20,-290.54,-28.34%,Yes,Medium,182500,,,,,,
Northern & Sierra,Inyo,124.94,193.70,-68.76,-35.50%,Yes,High,18572,,,,,,
San Joaquin Valley,Kern,4862.95,5596.99,-734.04,-13.11%,Yes,Low,905930,,,,,,
San Joaquin Valley,Kings,766.67,716.96,49.72,6.93%,No,No Shortage,154962,,,,,,
Northern & Sierra,Lake,247.57,551.34,-303.77,-55.10%,Yes,Severe,65379,,,,,,
Northern & Sierra,Lassen,138.99,161.11,-22.12,-13.73%,Yes,Low,26789,,,,,,
San Joaquin Valley,Madera,1280.89,1571.79,-290.91,-18.51%,Yes,Low,161017,,,,,,
